_id,skillname_x,coursename,certificate_link,score,approval,userId,name,email,role,department,designation,createdAt,__v,skillname_y
670627fde88879333ce6fb9f,React,React for Beginners,https://patterson.com/,82,True,670627fde88879333ce6f7b7,Michael Ferguson,gutierrezbrett@example.net,employee,IT,Junior IT Engineer,2024-01-13,0,React
670627fde88879333ce6fba0,Node.js,Intro to Node.js,https://brock.info/,75,False,670627fde88879333ce6f7b7,Michael Ferguson,gutierrezbrett@example.net,employee,IT,Junior IT Engineer,2024-01-13,0,Node.js
670627fde88879333ce6fba1,MongoDB,MongoDB Basics,http://jacobs-garner.com/,83,True,670627fde88879333ce6f7b7,Michael Ferguson,gutierrezbrett@example.net,employee,IT,Junior IT Engineer,2024-01-13,0,MongoDB
670627fde88879333ce6fba2,Python,Intro to Python,http://www.brown.com/,75,False,670627fde88879333ce6f7b8,Nancy Giles,nunezmiranda@example.net,employee,Engineering,Junior Engineering Engineer,2024-06-16,1,Python
670627fde88879333ce6fba3,Data Engineering,Data Engineering Bootcamp,http://www.castillo.net/,52,True,670627fde88879333ce6f7b8,Nancy Giles,nunezmiranda@example.net,employee,Engineering,Junior Engineering Engineer,2024-06-16,1,Data Engineering
670627fde88879333ce6fba4,Machine Learning,Introduction to Machine Learning,http://gonzalez.biz/,82,False,670627fde88879333ce6f7b8,Nancy Giles,nunezmiranda@example.net,employee,Engineering,Junior Engineering Engineer,2024-06-16,1,Machine Learning
670627fde88879333ce6fba5,React,React for Beginners,https://www.powell-ramirez.com/,53,False,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,React
670627fde88879333ce6fba6,React,Advanced React,http://montoya-briggs.com/,56,True,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,React
670627fde88879333ce6fba7,React,React with Redux,https://yates.com/,95,False,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,React
670627fde88879333ce6fba8,Node.js,Intro to Node.js,https://www.rangel.net/,87,False,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,Node.js
670627fde88879333ce6fba9,Node.js,Advanced Node.js,http://hahn.biz/,82,True,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,Node.js
670627fde88879333ce6fbaa,Node.js,Node.js with Express,http://www.marshall.com/,95,False,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,Node.js
670627fde88879333ce6fbab,MongoDB,MongoDB Basics,https://www.morgan.com/,88,False,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,MongoDB
670627fde88879333ce6fbac,MongoDB,MongoDB for Developers,http://guzman.com/,67,True,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,MongoDB
670627fde88879333ce6fbad,MongoDB,Data Modeling with MongoDB,https://www.ramos-wilson.com/,94,True,670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1,MongoDB
670627fde88879333ce6fbae,React,React for Beginners,http://www.mayer.biz/,53,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,React
670627fde88879333ce6fbaf,React,Advanced React,https://www.long.info/,94,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,React
670627fde88879333ce6fbb0,React,React with Redux,http://www.duncan-larsen.com/,90,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,React
670627fde88879333ce6fbb1,Node.js,Intro to Node.js,http://www.knight-gordon.com/,73,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,Node.js
670627fde88879333ce6fbb2,Node.js,Advanced Node.js,http://ford.org/,88,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,Node.js
670627fde88879333ce6fbb3,Node.js,Node.js with Express,https://valentine.info/,69,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,Node.js
670627fde88879333ce6fbb4,MongoDB,MongoDB Basics,http://www.hurst.org/,63,True,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,MongoDB
670627fde88879333ce6fbb5,MongoDB,MongoDB for Developers,https://www.scott.com/,58,True,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,MongoDB
670627fde88879333ce6fbb6,MongoDB,Data Modeling with MongoDB,http://www.daugherty-parsons.info/,74,False,670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1,MongoDB
670627fde88879333ce6fbb7,React,React for Beginners,http://avila.info/,70,False,670627fde88879333ce6f7bb,Tony Chaney,dakota37@example.org,admin,IT,Junior IT Engineer,2024-05-05,1,React
670627fde88879333ce6fbb8,Node.js,Intro to Node.js,https://martinez.com/,84,True,670627fde88879333ce6f7bb,Tony Chaney,dakota37@example.org,admin,IT,Junior IT Engineer,2024-05-05,1,Node.js
670627fde88879333ce6fbb9,MongoDB,MongoDB Basics,http://www.flores.org/,50,False,670627fde88879333ce6f7bb,Tony Chaney,dakota37@example.org,admin,IT,Junior IT Engineer,2024-05-05,1,MongoDB
670627fde88879333ce6fbba,Python,Intro to Python,https://www.ortiz-cole.com/,96,True,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Python
670627fde88879333ce6fbbb,Python,Advanced Python,http://morrison.com/,85,True,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Python
670627fde88879333ce6fbbc,Python,Data Science with Python,http://johnson-grimes.com/,96,False,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Python
670627fde88879333ce6fbbd,Data Engineering,Data Engineering Bootcamp,http://smith-arnold.biz/,74,False,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Data Engineering
670627fde88879333ce6fbbe,Data Engineering,Building Data Pipelines,https://www.gillespie-price.com/,84,False,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Data Engineering
670627fde88879333ce6fbbf,Data Engineering,ETL with Python,https://stewart.com/,79,False,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Data Engineering
670627fde88879333ce6fbc0,Machine Learning,Introduction to Machine Learning,https://www.colon-jenkins.biz/,88,True,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Machine Learning
670627fde88879333ce6fbc1,Machine Learning,Deep Learning with TensorFlow,http://acevedo-brooks.biz/,73,True,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Machine Learning
670627fde88879333ce6fbc2,Machine Learning,Machine Learning in Python,https://taylor.com/,63,False,670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1,Machine Learning
670627fde88879333ce6fbc3,React,React for Beginners,https://www.collins.com/,86,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,React
670627fde88879333ce6fbc4,React,Advanced React,http://robertson.com/,78,True,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,React
670627fde88879333ce6fbc5,React,React with Redux,https://www.smith.com/,54,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,React
670627fde88879333ce6fbc6,Node.js,Intro to Node.js,http://www.phelps.com/,94,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,Node.js
670627fde88879333ce6fbc7,Node.js,Advanced Node.js,https://sanchez.com/,67,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,Node.js
670627fde88879333ce6fbc8,Node.js,Node.js with Express,https://burnett.info/,60,True,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,Node.js
670627fde88879333ce6fbc9,MongoDB,MongoDB Basics,https://johnson.info/,61,True,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,MongoDB
670627fde88879333ce6fbca,MongoDB,MongoDB for Developers,https://www.pierce.com/,76,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,MongoDB
670627fde88879333ce6fbcb,MongoDB,Data Modeling with MongoDB,https://jackson-simpson.com/,79,False,670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1,MongoDB
